grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, id_dfs, pancake16, "15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13", na, na, na, na
X, id_dfs, pancake16, "9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10", na, na, na, na
X, id_dfs, pancake16, "1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8", na, na, na, na
X, id_dfs, pancake16, "3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2", 4, 508533, 0.013338, 3.81266e+07
X, id_dfs, pancake16, "4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15", na, na, na, na
X, id_dfs, pancake16, "1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10", na, na, na, na
X, id_dfs, pancake16, "14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11", na, na, na, na
X, id_dfs, pancake16, "11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15", 4, 133103, 0.012648, 1.05236e+07
X, id_dfs, pancake16, "14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0", 6, 12380526, 0.342221, 3.6177e+07
X, id_dfs, pancake16, "13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15", 1, 198, 3.1e-05, 6.3871e+06
X, id_dfs, pancake16, "4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10", na, na, na, na
X, id_dfs, pancake16, "5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11", 4, 419277, 0.03271, 1.2818e+07
X, id_dfs, pancake16, "1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15", 7, 752985386, 19.3368, 3.89405e+07
X, id_dfs, pancake16, "4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15", 2, 290, 0.000115, 2.52174e+06
X, id_dfs, pancake16, "9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15", 4, 72253, 0.0019, 3.80279e+07
X, id_dfs, pancake16, "5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15", 4, 243134, 0.012756, 1.90604e+07
X, id_dfs, pancake16, "15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13", na, na, na, na
X, id_dfs, pancake16, "6 7 12 11 10 9 8 5 4 3 2 1 0 13 14 15", 3, 18970, 0.001925, 9.85455e+06
X, id_dfs, pancake16, "3 1 0 6 5 4 2 7 8 9 10 11 12 13 14 15", 5, 3038292, 0.078231, 3.88374e+07
X, id_dfs, pancake16, "7 8 9 10 6 5 4 3 0 1 2 11 12 13 14 15", 3, 11025, 0.000305, 3.61475e+07
X, id_dfs, pancake16, "15 3 4 5 6 7 8 2 1 0 10 11 12 13 14 9", 6, 57119047, 1.46657, 3.89475e+07
X, id_dfs, pancake16, "2 3 4 11 14 10 7 0 5 1 13 12 8 9 6 15", na, na, na, na
X, id_dfs, pancake16, "9 8 7 6 5 10 3 2 1 0 11 14 13 12 4 15", 6, 40131577, 1.10143, 3.6436e+07
X, id_dfs, pancake16, "10 9 4 14 15 3 0 7 12 6 1 8 11 13 5 2", na, na, na, na
X, id_dfs, pancake16, "2 1 0 14 3 4 5 6 7 8 9 10 11 12 13 15", 3, 12034, 0.001246, 9.65811e+06
X, id_dfs, pancake16, "4 3 1 2 0 12 5 6 7 8 11 13 14 10 9 15", na, na, na, na
X, id_dfs, pancake16, "3 7 6 5 14 0 1 2 4 8 9 10 13 12 11 15", 7, 856340755, 22.0489, 3.88382e+07
X, id_dfs, pancake16, "6 7 5 4 3 2 1 0 8 9 10 11 12 13 14 15", 2, 320, 0.000139, 2.30216e+06
X, id_dfs, pancake16, "0 5 1 8 3 4 15 2 6 12 14 10 11 9 7 13", na, na, na, na
X, id_dfs, pancake16, "10 9 6 0 1 5 7 8 4 3 2 11 12 13 14 15", 6, 84711808, 2.22842, 3.80142e+07
X, id_dfs, pancake16, "15 14 13 12 11 10 9 8 7 6 5 4 3 0 1 2", 2, 3214, 0.000438, 7.3379e+06
X, id_dfs, pancake16, "1 2 3 4 5 6 7 8 9 10 11 12 13 0 14 15", 2, 2731, 9.4e-05, 2.90532e+07
X, id_dfs, pancake16, "7 11 12 13 14 10 9 8 6 5 4 3 2 1 0 15", 4, 311342, 0.018531, 1.68011e+07
X, id_dfs, pancake16, "3 12 0 8 7 9 11 10 13 6 5 15 14 2 1 4", na, na, na, na
X, id_dfs, pancake16, "1 0 8 7 6 5 4 3 2 9 10 11 12 13 14 15", 4, 66614, 0.006789, 9.81205e+06
X, id_dfs, pancake16, "10 0 1 9 14 3 2 12 8 7 13 15 6 5 4 11", na, na, na, na
X, id_dfs, pancake16, "3 4 5 6 7 1 12 11 8 9 2 0 10 13 14 15", 8, 1684622726, 374.721, 4.49567e+06
X, id_dfs, pancake16, "12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15", 2, 636, 0.000148, 4.2973e+06
X, id_dfs, pancake16, "0 1 2 3 9 8 10 11 12 13 14 15 4 5 6 7", 6, 31346540, 0.864686, 3.62519e+07
X, id_dfs, pancake16, "12 7 9 13 14 10 11 15 3 0 4 6 5 2 1 8", na, na, na, na
X, id_dfs, pancake16, "7 10 0 3 8 9 13 12 1 2 6 11 14 15 5 4", na, na, na, na
X, id_dfs, pancake16, "9 10 11 12 2 1 8 0 4 5 6 3 7 13 14 15", 8, 1887710987, 158.983, 1.18737e+07
X, id_dfs, pancake16, "14 13 3 0 7 9 2 6 10 8 4 15 1 12 11 5", na, na, na, na
X, id_dfs, pancake16, "7 2 1 13 15 14 8 5 0 3 10 6 11 12 4 9", na, na, na, na
X, id_dfs, pancake16, "3 8 9 6 11 4 14 0 1 7 15 2 10 5 12 13", na, na, na, na
X, id_dfs, pancake16, "7 6 5 4 3 2 8 9 10 11 12 13 1 0 14 15", 3, 17296, 0.000501, 3.4523e+07
X, id_dfs, pancake16, "11 10 1 2 3 12 15 13 4 5 6 7 8 9 0 14", na, na, na, na
X, id_dfs, pancake16, "3 2 1 0 6 7 8 9 10 11 12 13 4 5 14 15", 3, 35343, 0.002917, 1.21162e+07
X, id_dfs, pancake16, "13 4 15 6 7 12 10 3 5 1 9 2 11 14 0 8", na, na, na, na
X, id_dfs, pancake16, "14 7 0 5 13 4 10 15 12 6 2 8 3 9 11 1", na, na, na, na
X, id_dfs, pancake16, "0 1 2 6 5 4 3 7 8 9 10 11 12 13 14 15", 3, 18669, 0.000545, 3.4255e+07
X, id_dfs, pancake16, "12 3 2 1 0 6 7 8 9 4 11 10 5 13 14 15", 6, 99523075, 2.59477, 3.83553e+07
X, id_dfs, pancake16, "14 12 10 15 13 5 4 3 6 11 8 7 0 1 2 9", na, na, na, na
